SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,NAMEASCII,ADM0CAP,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,MEGANAME,LS_NAME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,TIMEZONE,UN_FID,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,MIN_ZOOM,WIKIDATAID,WOF_ID,CAPALT,NAME_EN,NAME_DE,NAME_ES,NAME_FR,NAME_PT,NAME_RU,NAME_ZH,LABEL,NAME_AR,NAME_BN,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_SV,NAME_TR,NAME_VI,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT,GEONAMESID,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,tier
10,1,5.0,Admin-1 capital,Mae Hong Son,,,Mae Hong Son,0,,0,0,Thailand,THA,Thailand,THA,Mae Hong Son,TH,,19.301004,97.968997,9109,9109,0.0,5,5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q743005,102024257,0,Mae Hong Son,Mae Hong Son,Mae Hong Son,Mae Hong Son,Mae Hong Son,Мэхонгсон,湄宏順,,ماي هونغ سون,মায়ে হঙ সং,Μάε Χονγκ Σον,मे हांग सन,Mae Hong Son,Mae Hong Son,Mae Hong Son,メーホーンソーン,매홍손,Mae Hong Son,Mae Hong Son,Mae Hong Son,Mae Hong Son,Mae Hong Son,1159114969,مائه هونگ سون,מה הונג סונג,Мехонгсон,مائے ہونگ سون,湄宏順市,1152222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,1,5.0,Admin-1 capital,Phangnga,,,Phangnga,0,,0,0,Thailand,THA,Thailand,THA,Phangnga,TH,,8.451,98.533999,9676,9676,0.0,5,5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q204587,102024201,0,Phang Nga,Phang-nga,Phang Nga,Phang Nga,Phang Nga,Пхангнга,攀牙,,فانغجينجا,ফাঙনা,Φανγκ Νγκα,फ़ेंगा,Phangnga,Phangnga,Phang Nga,パンガー,팡응아,Phang Nga,Phang Nga,Phangnga,Phangnga,Phang Nga,1159114987,پهانگ نگا,פנגנגה,Пхангнга,پھانگ نگا,攀牙,1151464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,1,5.0,Admin-1 capital,Ranong,,,Ranong,0,,0,0,Thailand,THA,Thailand,THA,Ranong,TH,,9.962001,98.638003,24561,24561,0.0,7,7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Q1012440,102024165,0,Ranong,Ranong,Ranong,Ranong,Ranong,Ранонг,拉廊,,رانونج,র,Ρανόνγκ,रैनोंग,Ranong,Ranong,Ranong,ラノーン,라농,Ranong,Ranong,Ranong,Ranong,Ranong,1159115007,رانونگ,ראנונג,Ранонг,رانونگ,拉廊,1150965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,1,5.0,Admin-1 capital,Krabi,,,Krabi,0,,0,0,Thailand,THA,Thailand,THA,Krabi,TH,,8.052003,98.911999,31219,31219,0.0,7,7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Q1000353,102024293,0,Krabi,Krabi,Krabi,Krabi,Krabi,Краби,甲米,,كرابي,ক্র্যাবি,Κράμπι,क्राबी,Krabi,Krabi,Krabi,クラビー,끄라비,Krabi,Krabi,Krabi,Krabi,Krabi,1159115029,کرابی,קראבי,Крабі,کرابی,甲米,1152633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,5.0,Admin-1 capital,Phatthalung,,,Phatthalung,0,,0,0,Thailand,THA,Thailand,THA,Phatthalung,TH,,7.614999,100.081,43522,43522,0.0,7,7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q179539,102025027,0,Phatthalung,Phatthalung,Phatthalung,Phattalung,Phatthalung,Пхаттхалунг,博他仑,,محافظة فاتهالونج,ফাথ্যালাং,Παθαλούνγκ,फैथलंग,Phatthalung,Phatthalung,Phatthalung,パッタルン,파탈룽,Phattalung,Phatthalung,Phatthalung,Phatthalung,Phatthalung,1159115055,فاتالونگ,פתאלונג,Пхатталунг,فیٹھالنگ,博他侖,1607779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,5.0,Admin-1 capital,Satun,,,Satun,0,,0,0,Thailand,THA,Thailand,THA,Satun,TH,,6.616701,100.066699,34544,34544,0.0,7,7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q1365666,102024827,0,Satun,Satun,Satun,Satun,Satun,Сатун,沙敦,,محافظة ساتون,সাতুন,Σατούν,सैटन,Satun,Satun,Satun,サトゥン,사뚠,Satun,Satun,Satun,Satun,Satun,1159115073,ساتون,סטון,Сатун,ساتون,沙敦,1606376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,5.0,Admin-1 capital,Lamphun,,,Lamphun,0,,0,0,Thailand,THA,Thailand,THA,Lamphun,TH,,18.503001,99.073999,14030,14030,0.0,6,6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q1211214,102024283,0,Lamphun,Lamphun,Muang Lamphun,Lamphun,Lamphun,Лампхун,南奔,,لامفون,ল্যামফুন,Λαμπούν,लैम्फन,Lamphun,Lamphun,Lamphun,ランフン,람푼,Lamphun,Lamphun,Lamphun,Lamphun,Lamphun,1159115095,لامفان,למפון,Лампхун,لامپھون,南奔,1152468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,1,5.0,Admin-1 capital,Kamphaeng Phet,,,Kamphaeng Phet,0,,0,0,Thailand,THA,Thailand,THA,Kamphaeng Phet,TH,,16.472997,99.529003,58787,58787,0.0,8,8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Q2960445,102024345,0,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,Кампхэнг-Пхет,甘烹碧,,كامبينغ فيت,কামফায়েং ফেত,Καμπένγκ Πετ,केम्फेंग फेट,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,カンフェンペット,깜팽펫,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet,1159115115,کامفائنگ فت,קמפאיינג פט,Кампхенгпхет,کیمفائنگ فیٹ,甘烹碧,1153090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,5.0,Admin-1 capital,Phichit,,,Phichit,0,,0,0,Thailand,THA,Thailand,THA,Phichit,TH,,16.439004,100.349002,35760,35760,0.0,7,7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q1365823,102025007,0,Phichit,Phichit,Phichit,Phichit,Phichit,Пхичит,披集,,فيشيت,ফিচিত,Πιτσίτ,फिचित,Phichit,Phichit,Phichit,ピチット,피찟,Phichit,Phichit,Phichit,Phichit,Phichit,1159115131,فیچیت,פיצ'יט,Пхічіт,فیچیٹ,披集,1607725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,1,5.0,Admin-1 capital,Phetchabun,,,Phetchabun,0,,0,0,Thailand,THA,Thailand,THA,Phetchabun,TH,,16.418997,101.159002,50656,50656,0.0,8,8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia/Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Q1211346,102025015,0,Phetchabun,Phetchabun,Phetchabun,Phetchabun,Phetchabun,Пхетчабун,碧差汶,,فيتشابون,ফেতছাবান,Πετσαμπούν,फेत्चबुन,Phetchabun,Phetchabun,Phetchabun,ペッチャブーン,펫차분,Phetchabun,Phetchabun,Phetchabun,Phetchabun,Phetchabun,1159115143,فتچابون,פטצ'בון,Пхетчабун,فیٹاچابن,碧差汶,1607737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
